
Имя фильтра                     Число экземпляров    Высота    Кадр
------------------------------  -------------  ------------  -----
bindflt                                 1       409800         0
FsDepends                               6       407000         0
IUFileFilter                            6       389998         0
UCPD                                    6       385250.5       0
WdFilter                                6       328010         0
storqosflt                              1       244000         0
wcifs                                   1       189900         0
CldFlt                                  0       180451         0
FileCrypt                               1       141100         0
luafv                                   1       135000         0
npsvctrig                               1        46000         0
Wof                                     4        40700         0
FileInfo                                6        40500         0
